                      B:B:AES |             ctr.key:10485760 |    3 | R ( 76/ 642 ~0.118; c R ( 23/ 214) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 324669, 324670, 324671, mpv: [7.588e-28, 5.873e-27, 3.765e-28]
                      B:B:AES |             ctr.key:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 324672, 324673, 324674, mpv: [1.156e-03, 2.400e-03, 1.691e-03], [; ; ]
                      B:B:AES |             ctr.key:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 329843, 329844, 329845, mpv: [1.000e-03, 2.500e-03, 1.476e-04], [; ; ]
                      B:B:AES |             ctr.key:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 329846, 329847, 329848, mpv: [2.244e-03, 9.539e-04, 3.267e-04], [; ; ]
                      B:B:AES |             ctr.key:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377961, 377962, 377963, mpv: [1.928e-04, 9.439e-04, 9.539e-04], [; ; ]
                      B:B:AES |             ctr.key:10485760 |    8 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  10, sds 000) exs: 377964, 377965, 377966, mpv: [2.800e-03, 1.507e-02, 3.267e-04], [; ; ]
                      B:B:AES |            ctr.key:104857600 |    2 | R (659/ 735 ~0.897; c R (233/ 245) | hcr:   6, max  10, sm: 80.00 %, sds 111) exs: 315132, 315133, 315134, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                      B:B:AES |            ctr.key:104857600 |    3 | R (146/ 735 ~0.199; c R ( 50/ 245) | hcr:   6, max  10, sm: 70.00 %, sds 111) exs: 315100, 315101, 315102, mpv: [2.470e-323, 3.761e-247, 1.190e-269]
                      B:B:AES |            ctr.key:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 315106, 315107, 315108, mpv: [1.000e-03, 8.500e-04, 3.100e-05], [; ; ]
                      B:B:AES |            ctr.key:104857600 |    5 | - (  1/ 735 ~0.001; c - (  0/ 245) | hcr:   6, max  10, sds 000) exs: 315112, 315113, 315114, mpv: [4.500e-04, 7.682e-06, 9.091e-04], [; 708; ]
