                   P::std_lcg |         hw.key:b32:104857600 |    0 | R (609/ 729 ~0.835; c R (229/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339345, 339346, 339347, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        hw.key:b32:1048576000 |    0 | R (793/ 891 ~0.890; c R (280/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339357, 339358, 339359, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        hw.key:b8192:10485760 |    0 | R (555/ 636 ~0.873; c R (191/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339441, 339442, 339443, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       hw.key:b8192:104857600 |    0 | R (595/ 729 ~0.816; c R (223/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339453, 339454, 339455, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      hw.key:b8192:1048576000 |    0 | R (771/ 891 ~0.865; c R (271/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339465, 339466, 339467, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       rnd.key:b1024:10485760 |    0 | R (553/ 636 ~0.869; c R (191/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339411, 339412, 339413, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      rnd.key:b1024:104857600 |    0 | R (595/ 729 ~0.816; c R (223/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339423, 339424, 339425, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |     rnd.key:b1024:1048576000 |    0 | R (771/ 891 ~0.865; c R (271/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339435, 339436, 339437, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        rnd.key:b128:10485760 |    0 | R (557/ 636 ~0.876; c R (190/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339375, 339376, 339377, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       rnd.key:b128:104857600 |    0 | R (595/ 729 ~0.816; c R (223/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339387, 339388, 339389, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      rnd.key:b128:1048576000 |    0 | R (771/ 891 ~0.865; c R (271/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339399, 339400, 339401, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |         rnd.key:b16:10485760 |    0 | R (562/ 636 ~0.884; c R (193/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339303, 339304, 339305, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        rnd.key:b16:104857600 |    0 | R (595/ 729 ~0.816; c R (223/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339315, 339316, 339317, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       rnd.key:b16:1048576000 |    0 | R (756/ 891 ~0.848; c R (266/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339327, 339328, 339329, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |         rnd.key:b32:10485760 |    0 | R (564/ 636 ~0.887; c R (193/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339339, 339340, 339341, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |        rnd.key:b32:104857600 |    0 | R (598/ 729 ~0.820; c R (224/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339351, 339352, 339353, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       rnd.key:b32:1048576000 |    0 | R (765/ 891 ~0.859; c R (269/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339363, 339364, 339365, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       rnd.key:b8192:10485760 |    0 | R (551/ 636 ~0.866; c R (190/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339447, 339448, 339449, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      rnd.key:b8192:104857600 |    0 | R (591/ 729 ~0.811; c R (222/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339459, 339460, 339461, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |     rnd.key:b8192:1048576000 |    0 | R (771/ 891 ~0.865; c R (271/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339471, 339472, 339473, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |       sac.key:b1024:10485760 |    0 | R (559/ 636 ~0.879; c R (192/ 212) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339408, 339409, 339410, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |      sac.key:b1024:104857600 |    0 | R (597/ 729 ~0.819; c R (223/ 243) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339420, 339421, 339422, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   P::std_lcg |     sac.key:b1024:1048576000 |    0 | R (771/ 891 ~0.865; c R (271/ 297) | hcr:   1, max   1, sm: 100.00 %, sds 111) exs: 339432, 339433, 339434, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
