                    H::Abacus |                 hw:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377913, 377914, 377915, mpv: [5.601e-04, 2.600e-04, 1.070e-02], [; ; ]
                    H::Abacus |                 hw:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 377916, 377917, 377918, mpv: [7.003e-04, 4.381e-03, 6.828e-05], [; ; ]
                    H::Abacus |                hw:1048576000 |    1 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max 280, sds 000) exs: 321024, 321126, 321231, mpv: [1.019e-03, 6.270e-04, 1.400e-03], [; ; ]
                    H::Abacus |                hw:1048576000 |    2 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max 280, sds 000) exs: 336018, 336019, 336020, mpv: [3.946e-04, 7.000e-03, 1.475e-03], [; ; ]
                    H::Abacus |                hw:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 336021, 336022, 336023, mpv: [1.822e-04, 1.093e-03, 2.550e-03], [; ; ]
                    H::Abacus |                hw:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 377919, 377920, 377921, mpv: [4.100e-03, 4.400e-04, 8.239e-05], [; ; ]
                    H::Abacus |                hw:1048576000 |    5 | - (  1/ 897 ~0.001; c - (  1/ 299) | hcr:  - , max 280, sds 000) exs: 377922, 377923, 377924, mpv: [2.037e-03, 1.300e-03, 9.080e-07], [; ; 168]
                    H::Abacus |                 sac:10485760 |    0 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301453, 304644, 307788, mpv: [1.050e-03, 2.421e-03, 1.691e-03], [; ; ]
                    H::Abacus |                 sac:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301456, 304650, 307794, mpv: [3.500e-03, 1.156e-03, 4.715e-03], [; ; ]
                    H::Abacus |                 sac:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301459, 304656, 307800, mpv: [2.707e-03, 8.663e-04, 1.229e-03], [; ; ]
                    H::Abacus |                 sac:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 301462, 304662, 307806, mpv: [3.416e-03, 4.838e-04, 7.400e-03], [; ; ]
                    H::Abacus |                 sac:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377925, 377926, 377927, mpv: [2.800e-03, 8.727e-03, 2.050e-03], [; ; ]
                    H::Abacus |                 sac:10485760 |    5 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max 280, sds 000) exs: 377928, 377929, 377930, mpv: [4.100e-04, 4.715e-03, 1.242e-03], [; ; ]
                    H::Abacus |                sac:104857600 |    0 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max 280, sds 000) exs: 303025, 304647, 307791, mpv: [5.600e-04, 6.113e-04, 1.834e-03], [; ; ]
