               B:M:gmimc-S45a |            ctr:s6ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352548, 352549, 352550, mpv: [8.663e-04, 5.166e-03, 3.363e-04], [; ; ]
               B:M:gmimc-S45a |            ctr:s6ob:10485760 |    3 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352563, 352564, 352565, mpv: [8.663e-04, 1.691e-03, 1.700e-05], [; ; ]
               B:M:gmimc-S45a |           ctr:s6ob:104857600 |    1 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 352518, 352519, 352520, mpv: [8.300e-04, 2.900e-04, 2.500e-03], [; ; ]
               B:M:gmimc-S45a |           ctr:s6ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 284978, 284979, 284980, mpv: [3.400e-03, 1.100e-03, 4.545e-03], [; ; ]
               B:M:gmimc-S45a |          ctr:s6ob:1073741824 |    1 | R ( 10/ 951 ~0.011; c R (  6/ 317) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 356506, 356507, 356508, mpv: [1.000e-300, 1.000e-300, 1.000e-300], [238, 407, 408, 566; 238, 407, 408; 238, 407, 408]
               B:M:gmimc-S45a |           lhw:s15mb:10485760 |    1 | - (  3/ 723 ~0.004; c - (  0/ 241) | hcr:  - , max 121, sds 001) exs: 352686, 352687, 352688, mpv: [4.000e-04, 2.486e-03, 3.960e-31], [; ; 720, 723, 774]
               B:M:gmimc-S45a |           lhw:s15mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352746, 352747, 352748, mpv: [5.166e-03, 8.644e-04, 1.600e-03], [; ; ]
               B:M:gmimc-S45a |          lhw:s15mb:104857600 |    1 | R ( 34/ 816 ~0.042; c R ( 12/ 272) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352701, 352702, 352703, mpv: [9.282e-93, 1.556e-250, 7.497e-275]
               B:M:gmimc-S45a |          lhw:s15mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352716, 352717, 352718, mpv: [2.141e-03, 6.273e-04, 6.269e-05], [; ; ]
               B:M:gmimc-S45a |         lhw:s15mb:1073741824 |    2 | - (  0/ 978 ~0.000; c - (  0/ 326) | hcr:  - , max 121, sds 000) exs: 356509, 356510, 356511, mpv: [9.808e-04, 3.881e-04, 1.200e-05], [; ; ]
               B:M:gmimc-S45a |           lhw:s15ob:10485760 |    1 | - (  6/ 696 ~0.009; c - (  1/ 232) | hcr:  - , max 121, sds 001) exs: 352689, 352690, 352691, mpv: [1.200e-04, 1.000e-05, 5.715e-11], [; 560; 542, 560, 729, 732, 783]
               B:M:gmimc-S45a |           lhw:s15ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352749, 352750, 352751, mpv: [5.100e-03, 5.605e-03, 9.175e-04], [; ; ]
               B:M:gmimc-S45a |          lhw:s15ob:104857600 |    1 | R ( 56/ 789 ~0.071; c R ( 19/ 263) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352704, 352705, 352706, mpv: [3.396e-87, 5.600e-221, 7.234e-239]
               B:M:gmimc-S45a |          lhw:s15ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 352719, 352720, 352721, mpv: [3.231e-05, 3.400e-03, 1.115e-03], [; ; ]
               B:M:gmimc-S45a |         lhw:s15ob:1073741824 |    2 | - (  0/ 951 ~0.000; c - (  1/ 317) | hcr:  - , max 121, sds 000) exs: 356512, 356513, 356514, mpv: [2.564e-03, 2.334e-04, 7.700e-04], [; ; ]
               B:M:gmimc-S45a |          lhw:s16mb1:10485760 |    1 | R ( 10/ 723 ~0.014; c - (  2/ 241) | hcr:  - , max 121, sm: 99.17 %, sds 101) exs: 352692, 352693, 352694, mpv: [2.375e-45, 1.691e-08, 1.091e-61], [711, 715, 765; 711; 711, 716, 717, 765, 770, 771]
               B:M:gmimc-S45a |          lhw:s16mb1:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352752, 352753, 352754, mpv: [1.800e-03, 7.866e-04, 7.287e-05], [; ; ]
               B:M:gmimc-S45a |         lhw:s16mb1:104857600 |    1 | R ( 52/ 816 ~0.064; c R ( 17/ 272) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352707, 352708, 352709, mpv: [1.364e-184, 4.735e-253, 2.527e-178]
               B:M:gmimc-S45a |         lhw:s16mb1:104857600 |    2 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 352722, 352723, 352724, mpv: [7.400e-04, 1.400e-03, 3.000e-03], [; ; ]
               B:M:gmimc-S45a |        lhw:s16mb1:1073741824 |    2 | - (  0/ 978 ~0.000; c - (  0/ 326) | hcr:  - , max 121, sds 000) exs: 356515, 356516, 356517, mpv: [1.669e-05, 3.900e-03, 3.500e-05], [; ; ]
               B:M:gmimc-S45a |            lhw:s6mb:10485760 |    1 | R ( 13/ 723 ~0.018; c R (  3/ 241) | hcr:  - , max 121, sm: 99.17 %, sds 101) exs: 352680, 352681, 352682, mpv: [2.555e-43, 1.216e-08, 4.277e-57], [542, 720, 774; 720; 542, 560, 702, 720, 725, 726, 774, 779, 780]
               B:M:gmimc-S45a |            lhw:s6mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 352740, 352741, 352742, mpv: [1.691e-03, 9.217e-04, 2.465e-03], [; ; ]
               B:M:gmimc-S45a |           lhw:s6mb:104857600 |    1 | R ( 81/ 816 ~0.099; c R ( 26/ 272) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352695, 352696, 352697, mpv: [6.791e-179, 1.119e-250, 4.731e-275]
               B:M:gmimc-S45a |           lhw:s6mb:104857600 |    2 | - (  0/ 816 ~0.000; c - (  1/ 272) | hcr:  - , max 121, sds 000) exs: 352710, 352711, 352712, mpv: [4.745e-03, 3.026e-03, 2.846e-04], [; ; ]
               B:M:gmimc-S45a |          lhw:s6mb:1073741824 |    2 | - (  0/ 978 ~0.000; c - (  2/ 326) | hcr:  - , max 121, sds 000) exs: 356518, 356519, 356520, mpv: [1.541e-03, 1.963e-05, 1.508e-05], [; ; ]
               B:M:gmimc-S45a |            lhw:s6ob:10485760 |    1 | R ( 17/ 696 ~0.024; c - (  2/ 232) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352683, 352684, 352685, mpv: [1.055e-43, 1.107e-10, 1.744e-26]
               B:M:gmimc-S45a |            lhw:s6ob:10485760 |    2 | - (  0/ 696 ~0.000; c - (  0/ 232) | hcr:  - , max 121, sds 000) exs: 352743, 352744, 352745, mpv: [6.480e-04, 1.700e-04, 1.991e-04], [; ; ]
               B:M:gmimc-S45a |           lhw:s6ob:104857600 |    1 | R ( 91/ 789 ~0.115; c R ( 31/ 263) | hcr:  - , max 121, sm: 99.17 %, sds 111) exs: 352698, 352699, 352700, mpv: [1.154e-182, 3.953e-323, 1.000e-300]
               B:M:gmimc-S45a |           lhw:s6ob:104857600 |    2 | - (  0/ 789 ~0.000; c - (  0/ 263) | hcr:  - , max 121, sds 000) exs: 352713, 352714, 352715, mpv: [2.679e-03, 5.132e-03, 5.598e-03], [; ; ]
               B:M:gmimc-S45a |          lhw:s6ob:1073741824 |    2 | - (  0/ 951 ~0.000; c - (  1/ 317) | hcr:  - , max 121, sds 000) exs: 356521, 356522, 356523, mpv: [2.331e-03, 2.600e-03, 1.077e-03], [; ; ]
               B:M:gmimc-S45a |           sac:s15mb:10485760 |    1 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 347189, 347190, 347191, mpv: [6.800e-04, 1.171e-03, 8.663e-04], [; ; ]
               B:M:gmimc-S45a |           sac:s15mb:10485760 |    2 | - (  0/ 723 ~0.000; c - (  0/ 241) | hcr:  - , max 121, sds 000) exs: 347219, 347220, 347221, mpv: [1.201e-03, 2.465e-03, 1.272e-03], [; ; ]
               B:M:gmimc-S45a |          sac:s15mb:104857600 |    1 | - (  0/ 816 ~0.000; c - (  0/ 272) | hcr:  - , max 121, sds 000) exs: 347204, 347205, 347206, mpv: [1.598e-03, 4.805e-04, 1.027e-03], [; ; ]
