                   B:S:Chacha |             hw.key:104857600 |    2 | R (606/ 735 ~0.824; c R (227/ 245) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 315141, 315142, 315143, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |             hw.key:104857600 |    3 | R ( 61/ 735 ~0.083; c R ( 21/ 245) | hcr:   6, max  20, sm: 85.00 %, sds 111) exs: 315147, 315148, 315149, mpv: [4.676e-18, 1.879e-30, 2.393e-39]
                   B:S:Chacha |             hw.key:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315153, 315154, 315155, mpv: [1.783e-03, 4.433e-03, 1.322e-04], [; ; ]
                   B:S:Chacha |             hw.key:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 315159, 315160, 315161, mpv: [5.275e-03, 2.200e-03, 2.300e-04], [; ; ]
                   B:S:Chacha |             hw.key:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 322138, 322139, 322140, mpv: [3.500e-03, 5.327e-04, 3.110e-04], [; ; ]
                   B:S:Chacha |             hw.key:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379038, 379039, 379040, mpv: [1.091e-03, 9.500e-05, 1.212e-03], [; ; ]
                   B:S:Chacha |             hw.key:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379041, 379042, 379043, mpv: [1.931e-03, 4.841e-04, 1.344e-03], [; ; ]
                   B:S:Chacha |            hw.key:1048576000 |    2 | R (762/ 897 ~0.849; c R (280/ 299) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 337941, 337942, 337943, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |            hw.key:1048576000 |    3 | R (107/ 897 ~0.119; c R ( 39/ 299) | hcr:   6, max  20, sm: 85.00 %, sds 111) exs: 331544, 331545, 331546, mpv: [1.540e-247, 4.583e-227, 1.000e-300]
                   B:S:Chacha |            hw.key:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 321887, 321888, 321889, mpv: [4.581e-03, 1.083e-03, 8.688e-04], [; ; ]
                   B:S:Chacha |            hw.key:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 316096, 316097, 316098, mpv: [3.466e-04, 6.173e-04, 1.424e-03], [; ; ]
                   B:S:Chacha |            hw.key:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:   6, max  20, sds 000) exs: 336219, 336220, 336221, mpv: [1.376e-03, 2.906e-03, 2.200e-04], [; ; ]
                   B:S:Chacha |            hw.key:1048576000 |    7 | - (  1/ 897 ~0.001; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 379044, 379045, 379046, mpv: [2.400e-04, 6.100e-06, 3.600e-04], [; 428; ]
                   B:S:Chacha |            hw.key:1048576000 |    8 | - (  1/ 897 ~0.001; c - (  0/ 299) | hcr:   6, max  20, sds 000) exs: 379047, 379048, 379049, mpv: [4.921e-03, 6.722e-07, 1.290e-03], [; 168; ]
                   B:S:Chacha |             rnd.key:10485760 |    1 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 331550, 331551, 331552, mpv: [1.100e-03, 5.640e-03, 2.400e-03], [; ; ]
                   B:S:Chacha |             rnd.key:10485760 |    2 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 329126, 329127, 329128, mpv: [2.465e-03, 2.400e-04, 1.757e-03], [; ; ]
                   B:S:Chacha |             rnd.key:10485760 |    3 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:   6, max  20, sds 000) exs: 329129, 329130, 329131, mpv: [4.600e-04, 1.859e-03, 3.700e-03], [; ; ]
